"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "12", "Esteban Gutierrez", "Sauber-Ferrari", "56", "15:29:40", "194.370", "1:26.217"
 "2", "4", "Felipe Massa", "Ferrari", "56", "15:28:29", "193.971", "1:26.394"
 "3", "15", "Adrian Sutil", "Force India-Mercedes", "38", "15:02:48", "193.590", "1:26.564"
 "4", "11", "Nico Hulkenberg", "Sauber-Ferrari", "58", "15:33:12", "193.541", "1:26.586"
 "5", "3", "Fernando Alonso", "Ferrari", "53", "15:23:41", "193.329", "1:26.681"
 "6", "7", "Kimi Räikkönen", "Lotus-Renault", "47", "15:15:06", "193.160", "1:26.757"
 "7", "14", "Paul di Resta", "Force India-Mercedes", "55", "15:27:50", "193.117", "1:26.776"
 "8", "2", "Mark Webber", "Red Bull Racing-Renault", "55", "15:27:28", "192.583", "1:27.017"
 "9", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "55", "15:27:17", "192.541", "1:27.036"
 "10", "6", "Sergio Perez", "McLaren-Mercedes", "55", "15:27:55", "192.066", "1:27.251"
 "11", "9", "Nico Rosberg", "Mercedes", "56", "15:29:17", "191.321", "1:27.591"
 "12", "16", "Pastor Maldonado", "Williams-Renault", "56", "15:30:02", "190.759", "1:27.849"
 "13", "10", "Lewis Hamilton", "Mercedes", "53", "15:25:23", "190.659", "1:27.895"
 "14", "5", "Jenson Button", "McLaren-Mercedes", "55", "15:27:54", "190.524", "1:27.957"
 "15", "23", "Max Chilton", "Marussia-Cosworth", "49", "15:20:40", "190.408", "1:28.011"
 "16", "19", "Daniel Ricciardo", "STR-Ferrari", "55", "15:28:01", "190.252", "1:28.083"
 "17", "18", "Jean-Eric Vergne", "STR-Ferrari", "41", "15:08:06", "189.933", "1:28.231"
 "18", "22", "Jules Bianchi", "Marussia-Cosworth", "55", "15:29:10", "188.537", "1:28.884"
 "19", "20", "Charles Pic", "Caterham-Renault", "43", "15:10:59", "187.529", "1:29.362"
 "20", "17", "Valtteri Bottas", "Williams-Renault", "27", "14:45:57", "186.724", "1:29.747"
 "21", "21", "Giedo van der Garde", "Caterham-Renault", "11", "14:21:03", "184.973", "1:30.597"
