"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "3", "Fernando Alonso", "Ferrari", "51", "15:30:54", "198.279", "1:33.468"
 "2", "7", "Kimi Räikkönen", "Lotus-Renault", "57", "15:40:17", "197.647", "1:33.767"
 "3", "17", "Valtteri Bottas", "Williams-Renault", "56", "15:40:13", "197.216", "1:33.972"
 "4", "10", "Lewis Hamilton", "Mercedes", "57", "15:40:39", "196.830", "1:34.156"
 "5", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "59", "15:43:24", "196.814", "1:34.164"
 "6", "9", "Nico Rosberg", "Mercedes", "55", "15:37:49", "196.778", "1:34.181"
 "7", "5", "Jenson Button", "McLaren-Mercedes", "49", "15:27:53", "196.736", "1:34.201"
 "8", "11", "Nico Hulkenberg", "Sauber-Ferrari", "58", "15:42:37", "196.647", "1:34.244"
 "9", "16", "Pastor Maldonado", "Williams-Renault", "56", "15:39:41", "196.544", "1:34.293"
 "10", "8", "Romain Grosjean", "Lotus-Renault", "57", "15:40:19", "195.956", "1:34.576"
 "11", "2", "Mark Webber", "Red Bull Racing-Renault", "55", "15:37:39", "195.530", "1:34.782"
 "12", "12", "Esteban Gutierrez", "Sauber-Ferrari", "56", "15:39:32", "193.469", "1:35.792"
 "13", "15", "Adrian Sutil", "Force India-Mercedes", "60", "15:45:56", "193.420", "1:35.816"
 "14", "19", "Daniel Ricciardo", "STR-Ferrari", "58", "15:42:42", "193.086", "1:35.982"
 "15", "6", "Sergio Perez", "McLaren-Mercedes", "50", "15:29:28", "192.780", "1:36.134"
 "16", "14", "Paul di Resta", "Force India-Mercedes", "43", "15:18:18", "191.918", "1:36.566"
 "17", "20", "Charles Pic", "Caterham-Renault", "51", "15:32:20", "189.916", "1:37.584"
 "18", "23", "Max Chilton", "Marussia-Cosworth", "47", "15:25:44", "188.374", "1:38.383"
 "19", "21", "Giedo van der Garde", "Caterham-Renault", "40", "15:14:10", "188.133", "1:38.509"
 "20", "4", "Felipe Massa", "Ferrari", "3", "14:08:44", "187.408", "1:38.890"
 "21", "18", "Jean-Eric Vergne", "STR-Ferrari", "12", "14:24:15", "186.670", "1:39.281"
 "22", "22", "Jules Bianchi", "Marussia-Cosworth", "20", "14:38:08", "185.617", "1:39.844"
