"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "9", "Kimi Räikkönen", "Lotus-Renault", "50", "14:25:24", "224.037", "1:34.661"
 "2", "10", "Romain Grosjean", "Lotus-Renault", "50", "14:25:31", "223.510", "1:34.884"
 "3", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "52", "14:28:31", "223.480", "1:34.897"
 "4", "2", "Mark Webber", "Red Bull Racing-Renault", "49", "14:23:40", "223.393", "1:34.934"
 "5", "6", "Felipe Massa", "Ferrari", "50", "14:25:24", "223.141", "1:35.041"
 "6", "7", "Michael Schumacher", "Mercedes", "52", "14:28:55", "222.789", "1:35.191"
 "7", "5", "Fernando Alonso", "Ferrari", "49", "14:23:41", "222.336", "1:35.385"
 "8", "16", "Daniel Ricciardo", "STR-Ferrari", "49", "14:24:30", "222.190", "1:35.448"
 "9", "14", "Kamui Kobayashi", "Sauber-Ferrari", "48", "14:22:47", "222.120", "1:35.478"
 "10", "17", "Jean-Eric Vergne", "STR-Ferrari", "49", "14:24:29", "222.036", "1:35.514"
 "11", "8", "Nico Rosberg", "Mercedes", "49", "14:24:35", "221.489", "1:35.750"
 "12", "19", "Bruno Senna", "Williams-Renault", "48", "14:22:44", "221.228", "1:35.863"
 "13", "12", "Nico Hulkenberg", "Force India-Mercedes", "37", "14:05:00", "220.956", "1:35.981"
 "14", "3", "Jenson Button", "McLaren-Mercedes", "52", "14:29:10", "220.714", "1:36.086"
 "15", "4", "Lewis Hamilton", "McLaren-Mercedes", "44", "14:16:08", "220.515", "1:36.173"
 "16", "24", "Timo Glock", "Marussia-Cosworth", "50", "14:27:58", "217.687", "1:37.422"
 "17", "18", "Pastor Maldonado", "Williams-Renault", "34", "14:00:54", "217.480", "1:37.515"
 "18", "25", "Charles Pic", "Marussia-Cosworth", "50", "14:28:19", "216.386", "1:38.008"
 "19", "20", "Heikki Kovalainen", "Caterham-Renault", "37", "14:05:58", "216.293", "1:38.050"
 "20", "23", "Narain Karthikeyan", "HRT-Cosworth", "50", "14:28:54", "215.658", "1:38.339"
 "21", "22", "Pedro de la Rosa", "HRT-Cosworth", "44", "14:18:36", "212.889", "1:39.618"
 "22", "15", "Sergio Perez", "Sauber-Ferrari", "3", "13:08:25", "212.541", "1:39.781"
