"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "77", "16:19:50", "157.018", "1:16.577"
 "2", "7", "Kimi Räikkönen", "Lotus-Renault", "78", "16:21:43", "155.364", "1:17.392"
 "3", "10", "Lewis Hamilton", "Mercedes", "76", "16:18:36", "153.891", "1:18.133"
 "4", "2", "Mark Webber", "Red Bull Racing-Renault", "77", "16:19:53", "153.637", "1:18.262"
 "5", "15", "Adrian Sutil", "Force India-Mercedes", "74", "16:16:12", "153.578", "1:18.292"
 "6", "9", "Nico Rosberg", "Mercedes", "74", "16:15:52", "153.510", "1:18.327"
 "7", "12", "Esteban Gutierrez", "Sauber-Ferrari", "71", "16:12:14", "152.811", "1:18.685"
 "8", "5", "Jenson Button", "McLaren-Mercedes", "76", "16:18:51", "152.743", "1:18.720"
 "9", "23", "Max Chilton", "Marussia-Cosworth", "78", "16:21:56", "152.171", "1:19.016"
 "10", "18", "Jean-Eric Vergne", "STR-Ferrari", "77", "16:20:14", "151.912", "1:19.151"
 "11", "14", "Paul di Resta", "Force India-Mercedes", "77", "16:20:14", "151.789", "1:19.215"
 "12", "3", "Fernando Alonso", "Ferrari", "77", "16:20:13", "151.550", "1:19.340"
 "13", "19", "Daniel Ricciardo", "STR-Ferrari", "26", "14:39:39", "151.386", "1:19.426"
 "14", "6", "Sergio Perez", "McLaren-Mercedes", "27", "14:40:24", "151.188", "1:19.530"
 "15", "11", "Nico Hulkenberg", "Sauber-Ferrari", "29", "14:43:36", "150.576", "1:19.853"
 "16", "4", "Felipe Massa", "Ferrari", "28", "14:42:34", "150.179", "1:20.064"
 "17", "21", "Giedo van der Garde", "Caterham-Renault", "50", "15:41:19", "149.377", "1:20.494"
 "18", "22", "Jules Bianchi", "Marussia-Cosworth", "49", "15:41:21", "149.149", "1:20.617"
 "19", "16", "Pastor Maldonado", "Williams-Renault", "8", "14:15:00", "148.662", "1:20.881"
 "20", "17", "Valtteri Bottas", "Williams-Renault", "68", "16:08:06", "148.589", "1:20.921"
 "21", "8", "Romain Grosjean", "Lotus-Renault", "57", "15:50:47", "148.501", "1:20.969"
 "22", "20", "Charles Pic", "Caterham-Renault", "4", "14:09:05", "145.266", "1:22.772"
