"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "41", "16:12:43", "202.151", "1:36.379"
 "2", "14", "Kamui Kobayashi", "Sauber-Ferrari", "54", "16:35:22", "201.480", "1:36.700"
 "3", "10", "Romain Grosjean", "Lotus-Renault", "42", "16:14:30", "201.006", "1:36.928"
 "4", "17", "Jean-Eric Vergne", "STR-Ferrari", "43", "16:17:15", "200.737", "1:37.058"
 "5", "9", "Kimi Räikkönen", "Lotus-Renault", "41", "16:12:46", "200.617", "1:37.116"
 "6", "2", "Mark Webber", "Red Bull Racing-Renault", "45", "16:19:38", "199.956", "1:37.437"
 "7", "4", "Lewis Hamilton", "McLaren-Mercedes", "38", "16:08:31", "199.351", "1:37.733"
 "8", "16", "Daniel Ricciardo", "STR-Ferrari", "42", "16:15:44", "199.005", "1:37.903"
 "9", "3", "Jenson Button", "McLaren-Mercedes", "47", "16:23:12", "198.714", "1:38.046"
 "10", "8", "Nico Rosberg", "Mercedes", "41", "16:13:17", "198.646", "1:38.080"
 "11", "19", "Bruno Senna", "Williams-Renault", "51", "16:30:09", "198.631", "1:38.087"
 "12", "6", "Felipe Massa", "Ferrari", "42", "16:15:06", "198.558", "1:38.123"
 "13", "7", "Michael Schumacher", "Mercedes", "39", "16:10:14", "198.548", "1:38.128"
 "14", "15", "Sergio Perez", "Sauber-Ferrari", "39", "16:10:15", "198.512", "1:38.146"
 "15", "5", "Fernando Alonso", "Ferrari", "44", "16:18:19", "198.397", "1:38.203"
 "16", "21", "Vitaly Petrov", "Caterham-Renault", "42", "16:15:52", "198.191", "1:38.305"
 "17", "12", "Nico Hulkenberg", "Force India-Mercedes", "46", "16:21:50", "198.177", "1:38.312"
 "18", "11", "Paul di Resta", "Force India-Mercedes", "41", "16:13:15", "198.056", "1:38.372"
 "19", "20", "Heikki Kovalainen", "Caterham-Renault", "43", "16:17:44", "197.917", "1:38.441"
 "20", "23", "Narain Karthikeyan", "HRT-Cosworth", "48", "16:28:17", "195.326", "1:39.747"
 "21", "18", "Pastor Maldonado", "Williams-Renault", "14", "15:27:47", "195.073", "1:39.876"
 "22", "22", "Pedro de la Rosa", "HRT-Cosworth", "41", "16:16:04", "194.371", "1:40.237"
 "23", "24", "Timo Glock", "Marussia-Cosworth", "46", "16:24:14", "194.204", "1:40.323"
 "24", "25", "Charles Pic", "Marussia-Cosworth", "14", "15:28:17", "191.916", "1:41.519"
