"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "40", "15:20:17", "227.657", "1:50.756"
 "2", "5", "Jenson Button", "McLaren-Mercedes", "36", "15:13:32", "227.519", "1:50.823"
 "3", "19", "Daniel Ricciardo", "STR-Ferrari", "38", "15:17:47", "227.224", "1:50.967"
 "4", "3", "Fernando Alonso", "Ferrari", "36", "15:13:04", "226.375", "1:51.383"
 "5", "2", "Mark Webber", "Red Bull Racing-Renault", "31", "15:04:01", "226.347", "1:51.397"
 "6", "9", "Nico Rosberg", "Mercedes", "39", "15:18:54", "225.971", "1:51.582"
 "7", "10", "Lewis Hamilton", "Mercedes", "39", "15:18:52", "225.943", "1:51.596"
 "8", "12", "Esteban Gutierrez", "Sauber-Ferrari", "30", "15:02:55", "225.432", "1:51.849"
 "9", "4", "Felipe Massa", "Ferrari", "40", "15:21:07", "224.763", "1:52.182"
 "10", "15", "Adrian Sutil", "Force India-Mercedes", "35", "15:12:00", "224.675", "1:52.226"
 "11", "8", "Romain Grosjean", "Lotus-Renault", "34", "15:09:51", "224.133", "1:52.497"
 "12", "16", "Pastor Maldonado", "Williams-Renault", "35", "15:12:47", "223.970", "1:52.579"
 "13", "17", "Valtteri Bottas", "Williams-Renault", "31", "15:04:59", "223.754", "1:52.688"
 "14", "18", "Jean-Eric Vergne", "STR-Ferrari", "29", "15:00:48", "223.008", "1:53.065"
 "15", "11", "Nico Hulkenberg", "Sauber-Ferrari", "41", "15:23:33", "222.919", "1:53.110"
 "16", "6", "Sergio Perez", "McLaren-Mercedes", "34", "15:10:07", "222.208", "1:53.472"
 "17", "7", "Kimi Räikkönen", "Lotus-Renault", "20", "14:43:07", "221.785", "1:53.688"
 "18", "21", "Giedo van der Garde", "Caterham-Renault", "43", "15:28:24", "221.188", "1:53.995"
 "19", "14", "Paul di Resta", "Force India-Mercedes", "21", "14:45:10", "219.719", "1:54.757"
 "20", "22", "Jules Bianchi", "Marussia-Cosworth", "37", "15:17:31", "219.457", "1:54.894"
 "21", "23", "Max Chilton", "Marussia-Cosworth", "31", "15:06:16", "219.400", "1:54.924"
 "22", "20", "Charles Pic", "Caterham-Renault", "7", "14:18:08", "214.901", "1:57.330"
