"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "6", "Sergio Perez", "McLaren-Mercedes", "56", "17:43:50", "201.159", "1:39.199"
 "2", "4", "Felipe Massa", "Ferrari", "50", "17:32:59", "199.937", "1:39.805"
 "3", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "45", "17:23:56", "198.661", "1:40.446"
 "4", "18", "Jean-Eric Vergne", "STR-Ferrari", "45", "17:25:18", "198.571", "1:40.492"
 "5", "5", "Jenson Button", "McLaren-Mercedes", "43", "17:22:04", "198.444", "1:40.556"
 "6", "2", "Mark Webber", "Red Bull Racing-Renault", "45", "17:23:56", "198.190", "1:40.685"
 "7", "11", "Nico Hulkenberg", "Sauber-Ferrari", "46", "17:26:33", "198.107", "1:40.727"
 "8", "9", "Nico Rosberg", "Mercedes", "44", "17:22:24", "198.052", "1:40.755"
 "9", "12", "Esteban Gutierrez", "Sauber-Ferrari", "54", "17:41:01", "197.711", "1:40.929"
 "10", "10", "Lewis Hamilton", "Mercedes", "32", "17:01:40", "197.570", "1:41.001"
 "11", "8", "Romain Grosjean", "Lotus-Renault", "37", "17:10:46", "197.131", "1:41.226"
 "12", "17", "Valtteri Bottas", "Williams-Renault", "54", "17:40:43", "196.845", "1:41.373"
 "13", "7", "Kimi Räikkönen", "Lotus-Renault", "37", "17:10:48", "196.079", "1:41.769"
 "14", "22", "Jules Bianchi", "Marussia-Cosworth", "47", "17:29:49", "194.827", "1:42.423"
 "15", "19", "Daniel Ricciardo", "STR-Ferrari", "35", "17:08:00", "194.527", "1:42.581"
 "16", "15", "Adrian Sutil", "Force India-Mercedes", "24", "16:49:37", "194.129", "1:42.791"
 "17", "20", "Charles Pic", "Caterham-Renault", "51", "17:37:12", "193.845", "1:42.942"
 "18", "14", "Paul di Resta", "Force India-Mercedes", "19", "16:39:27", "193.559", "1:43.094"
 "19", "23", "Max Chilton", "Marussia-Cosworth", "44", "17:25:13", "193.454", "1:43.150"
 "20", "21", "Giedo van der Garde", "Caterham-Renault", "44", "17:25:10", "193.441", "1:43.157"
 "21", "16", "Pastor Maldonado", "Williams-Renault", "34", "17:06:59", "192.865", "1:43.465"
