"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "2", "Mark Webber", "Red Bull Racing-Renault", "69", "15:34:25", "206.080", "1:16.182"
 "2", "3", "Fernando Alonso", "Ferrari", "69", "15:34:14", "206.023", "1:16.203"
 "3", "10", "Lewis Hamilton", "Mercedes", "69", "15:34:16", "205.615", "1:16.354"
 "4", "9", "Nico Rosberg", "Mercedes", "70", "15:36:26", "205.132", "1:16.534"
 "5", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "55", "15:15:59", "205.060", "1:16.561"
 "6", "4", "Felipe Massa", "Ferrari", "69", "15:35:46", "204.052", "1:16.939"
 "7", "6", "Sergio Perez", "McLaren-Mercedes", "69", "15:35:53", "202.918", "1:17.369"
 "8", "5", "Jenson Button", "McLaren-Mercedes", "68", "15:34:38", "202.685", "1:17.458"
 "9", "8", "Romain Grosjean", "Lotus-Renault", "62", "15:27:00", "202.296", "1:17.607"
 "10", "15", "Adrian Sutil", "Force India-Mercedes", "68", "15:34:34", "202.069", "1:17.694"
 "11", "7", "Kimi Räikkönen", "Lotus-Renault", "61", "15:25:21", "201.882", "1:17.766"
 "12", "14", "Paul di Resta", "Force India-Mercedes", "63", "15:27:48", "201.688", "1:17.841"
 "13", "18", "Jean-Eric Vergne", "STR-Ferrari", "61", "15:25:06", "201.512", "1:17.909"
 "14", "17", "Valtteri Bottas", "Williams-Renault", "63", "15:28:34", "201.266", "1:18.004"
 "15", "16", "Pastor Maldonado", "Williams-Renault", "68", "15:35:58", "201.006", "1:18.105"
 "16", "19", "Daniel Ricciardo", "STR-Ferrari", "68", "15:35:23", "200.615", "1:18.257"
 "17", "22", "Jules Bianchi", "Marussia-Cosworth", "68", "15:36:20", "199.049", "1:18.873"
 "18", "11", "Nico Hulkenberg", "Sauber-Ferrari", "40", "14:58:03", "198.588", "1:19.056"
 "19", "20", "Charles Pic", "Caterham-Renault", "60", "15:25:56", "197.777", "1:19.380"
 "20", "12", "Esteban Gutierrez", "Sauber-Ferrari", "52", "15:14:07", "197.533", "1:19.478"
 "21", "23", "Max Chilton", "Marussia-Cosworth", "67", "15:35:38", "197.315", "1:19.566"
 "22", "21", "Giedo van der Garde", "Caterham-Renault", "42", "15:03:19", "191.900", "1:21.811"
