"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "2", "Mark Webber", "Red Bull Racing-Renault", "61", "15:33:32", "187.603", "1:24.069"
 "2", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "57", "15:27:40", "186.529", "1:24.553"
 "3", "10", "Lewis Hamilton", "Mercedes", "69", "15:44:32", "186.322", "1:24.647"
 "4", "9", "Nico Rosberg", "Mercedes", "62", "15:35:24", "185.354", "1:25.089"
 "5", "4", "Felipe Massa", "Ferrari", "59", "15:31:07", "185.164", "1:25.176"
 "6", "7", "Kimi Räikkönen", "Lotus-Renault", "61", "15:33:20", "184.982", "1:25.260"
 "7", "8", "Romain Grosjean", "Lotus-Renault", "54", "15:23:38", "184.834", "1:25.328"
 "8", "3", "Fernando Alonso", "Ferrari", "56", "15:26:29", "184.692", "1:25.394"
 "9", "16", "Pastor Maldonado", "Williams-Renault", "69", "15:46:20", "184.254", "1:25.597"
 "10", "6", "Sergio Perez", "McLaren-Mercedes", "59", "15:31:25", "183.086", "1:26.143"
 "11", "5", "Jenson Button", "McLaren-Mercedes", "56", "15:26:36", "182.975", "1:26.195"
 "12", "18", "Jean-Eric Vergne", "STR-Ferrari", "53", "15:23:29", "182.349", "1:26.491"
 "13", "14", "Paul di Resta", "Force India-Mercedes", "55", "15:26:21", "182.103", "1:26.608"
 "14", "11", "Nico Hulkenberg", "Sauber-Ferrari", "58", "15:30:36", "181.826", "1:26.740"
 "15", "19", "Daniel Ricciardo", "STR-Ferrari", "58", "15:30:39", "181.568", "1:26.863"
 "16", "17", "Valtteri Bottas", "Williams-Renault", "41", "15:05:50", "181.018", "1:27.127"
 "17", "21", "Giedo van der Garde", "Caterham-Renault", "47", "15:15:27", "180.302", "1:27.473"
 "18", "20", "Charles Pic", "Caterham-Renault", "54", "15:25:54", "179.784", "1:27.725"
 "19", "23", "Max Chilton", "Marussia-Cosworth", "65", "15:44:00", "178.897", "1:28.160"
 "20", "22", "Jules Bianchi", "Marussia-Cosworth", "57", "15:31:18", "178.715", "1:28.250"
 "21", "15", "Adrian Sutil", "Force India-Mercedes", "12", "14:21:45", "178.113", "1:28.548"
 "22", "12", "Esteban Gutierrez", "Sauber-Ferrari", "16", "14:27:47", "176.940", "1:29.135"
