"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "12", "Nico Hulkenberg", "Force India-Mercedes", "52", "21:52:37", "164.480", "1:51.033"
 "2", "14", "Kamui Kobayashi", "Sauber-Ferrari", "52", "21:52:24", "163.513", "1:51.690"
 "3", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "50", "21:47:16", "162.865", "1:52.134"
 "4", "3", "Jenson Button", "McLaren-Mercedes", "47", "21:41:39", "162.155", "1:52.625"
 "5", "5", "Fernando Alonso", "Ferrari", "53", "21:53:05", "162.034", "1:52.709"
 "6", "2", "Mark Webber", "Red Bull Racing-Renault", "51", "21:49:43", "161.935", "1:52.778"
 "7", "11", "Paul di Resta", "Force India-Mercedes", "54", "21:55:02", "161.716", "1:52.931"
 "8", "17", "Jean-Eric Vergne", "STR-Ferrari", "28", "20:59:35", "160.891", "1:53.510"
 "9", "19", "Bruno Senna", "Williams-Renault", "27", "20:57:46", "160.749", "1:53.610"
 "10", "15", "Sergio Perez", "Sauber-Ferrari", "53", "21:53:32", "160.585", "1:53.726"
 "11", "9", "Kimi Räikkönen", "Lotus-Renault", "53", "21:53:19", "160.502", "1:53.785"
 "12", "8", "Nico Rosberg", "Mercedes", "55", "21:57:06", "160.344", "1:53.897"
 "13", "6", "Felipe Massa", "Ferrari", "47", "21:41:55", "160.204", "1:53.997"
 "14", "10", "Romain Grosjean", "Lotus-Renault", "56", "21:59:04", "160.027", "1:54.123"
 "15", "16", "Daniel Ricciardo", "STR-Ferrari", "53", "21:53:26", "159.825", "1:54.267"
 "16", "18", "Pastor Maldonado", "Williams-Renault", "27", "20:56:43", "158.641", "1:55.120"
 "17", "21", "Vitaly Petrov", "Caterham-Renault", "44", "21:39:10", "158.613", "1:55.140"
 "18", "20", "Heikki Kovalainen", "Caterham-Renault", "48", "21:44:32", "158.485", "1:55.233"
 "19", "4", "Lewis Hamilton", "McLaren-Mercedes", "14", "20:31:28", "158.063", "1:55.541"
 "20", "7", "Michael Schumacher", "Mercedes", "26", "20:55:18", "157.374", "1:56.047"
 "21", "24", "Timo Glock", "Marussia-Cosworth", "30", "21:04:35", "157.360", "1:56.057"
 "22", "25", "Charles Pic", "Marussia-Cosworth", "37", "21:20:10", "156.781", "1:56.486"
 "23", "22", "Pedro de la Rosa", "HRT-Cosworth", "48", "21:44:14", "155.202", "1:57.671"
 "24", "23", "Narain Karthikeyan", "HRT-Cosworth", "26", "20:57:04", "154.107", "1:58.507"
