"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "53", "16:35:38", "202.706", "1:36.808"
 "2", "5", "Jenson Button", "McLaren-Mercedes", "56", "16:40:56", "200.122", "1:38.058"
 "3", "17", "Valtteri Bottas", "Williams-Renault", "53", "16:36:54", "199.832", "1:38.200"
 "4", "3", "Fernando Alonso", "Ferrari", "46", "16:23:36", "197.210", "1:39.506"
 "5", "7", "Kimi Räikkönen", "Lotus-Renault", "51", "16:32:08", "196.324", "1:39.955"
 "6", "10", "Lewis Hamilton", "Mercedes", "50", "16:30:29", "196.273", "1:39.981"
 "7", "14", "Paul di Resta", "Force India-Mercedes", "55", "16:39:31", "196.038", "1:40.101"
 "8", "18", "Jean-Eric Vergne", "STR-Ferrari", "56", "16:41:33", "195.965", "1:40.138"
 "9", "19", "Daniel Ricciardo", "STR-Ferrari", "55", "16:39:23", "195.766", "1:40.240"
 "10", "4", "Felipe Massa", "Ferrari", "55", "16:39:20", "195.680", "1:40.284"
 "11", "8", "Romain Grosjean", "Lotus-Renault", "55", "16:39:33", "195.137", "1:40.563"
 "12", "11", "Nico Hulkenberg", "Sauber-Ferrari", "31", "15:58:21", "195.007", "1:40.630"
 "13", "16", "Pastor Maldonado", "Williams-Renault", "54", "16:38:33", "194.354", "1:40.968"
 "14", "6", "Sergio Perez", "McLaren-Mercedes", "55", "16:39:43", "193.754", "1:41.281"
 "15", "22", "Jules Bianchi", "Marussia-Cosworth", "35", "16:06:19", "193.265", "1:41.537"
 "16", "23", "Max Chilton", "Marussia-Cosworth", "39", "16:13:37", "192.429", "1:41.978"
 "17", "20", "Charles Pic", "Caterham-Renault", "48", "16:28:33", "192.393", "1:41.997"
 "18", "21", "Giedo van der Garde", "Caterham-Renault", "42", "16:19:07", "191.717", "1:42.357"
 "19", "9", "Nico Rosberg", "Mercedes", "7", "15:16:35", "189.823", "1:43.378"
 "20", "2", "Mark Webber", "Red Bull Racing-Renault", "12", "15:25:14", "189.754", "1:43.416"
 "21", "15", "Adrian Sutil", "Force India-Mercedes", "3", "15:09:15", "188.223", "1:44.257"
 "22", "12", "Esteban Gutierrez", "Sauber-Ferrari", "2", "15:07:32", "187.292", "1:44.775"
