"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "8", "Nico Rosberg", "Mercedes", "53", "15:23:44", "239.053", "1:27.239"
 "2", "15", "Sergio Perez", "Sauber-Ferrari", "53", "15:23:15", "238.171", "1:27.562"
 "3", "7", "Michael Schumacher", "Mercedes", "51", "15:20:45", "237.748", "1:27.718"
 "4", "18", "Pastor Maldonado", "Williams-Renault", "51", "15:21:01", "236.843", "1:28.053"
 "5", "4", "Lewis Hamilton", "McLaren-Mercedes", "52", "15:21:42", "235.841", "1:28.427"
 "6", "12", "Nico Hulkenberg", "Force India-Mercedes", "46", "15:13:37", "235.439", "1:28.578"
 "7", "16", "Daniel Ricciardo", "STR-Ferrari", "46", "15:13:32", "235.325", "1:28.621"
 "8", "10", "Jerome D'Ambrosio", "Lotus-Renault", "52", "15:22:58", "235.177", "1:28.677"
 "9", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "46", "15:13:18", "235.081", "1:28.713"
 "10", "19", "Bruno Senna", "Williams-Renault", "52", "15:22:29", "235.004", "1:28.742"
 "11", "5", "Fernando Alonso", "Ferrari", "44", "15:10:02", "234.758", "1:28.835"
 "12", "6", "Felipe Massa", "Ferrari", "33", "14:53:38", "234.550", "1:28.914"
 "13", "3", "Jenson Button", "McLaren-Mercedes", "31", "14:50:35", "234.518", "1:28.926"
 "14", "14", "Kamui Kobayashi", "Sauber-Ferrari", "39", "15:03:02", "234.239", "1:29.032"
 "15", "21", "Vitaly Petrov", "Caterham-Renault", "46", "15:14:32", "234.149", "1:29.066"
 "16", "11", "Paul di Resta", "Force India-Mercedes", "51", "15:20:52", "234.144", "1:29.068"
 "17", "9", "Kimi Räikkönen", "Lotus-Renault", "52", "15:22:12", "234.036", "1:29.109"
 "18", "2", "Mark Webber", "Red Bull Racing-Renault", "43", "15:08:53", "233.792", "1:29.202"
 "19", "20", "Heikki Kovalainen", "Caterham-Renault", "46", "15:14:31", "233.277", "1:29.399"
 "20", "25", "Charles Pic", "Marussia-Cosworth", "44", "15:11:41", "232.357", "1:29.753"
 "21", "24", "Timo Glock", "Marussia-Cosworth", "50", "15:21:10", "232.008", "1:29.888"
 "22", "22", "Pedro de la Rosa", "HRT-Cosworth", "51", "15:22:52", "230.699", "1:30.398"
 "23", "23", "Narain Karthikeyan", "HRT-Cosworth", "44", "15:12:19", "228.957", "1:31.086"
 "24", "17", "Jean-Eric Vergne", "STR-Ferrari", "6", "14:12:55", "226.776", "1:31.962"
