"Pos", "No", "Driver", "Team", "Lap", "Time Of Day", "Avg Speed", "Time"
 "1", "3", "Jenson Button", "McLaren-Mercedes", "56", "18:34:37", "214.053", "1:29.187"
 "2", "1", "Sebastian Vettel", "Red Bull Racing-Renault", "57", "18:36:10", "213.503", "1:29.417"
 "3", "2", "Mark Webber", "Red Bull Racing-Renault", "57", "18:36:12", "213.452", "1:29.438"
 "4", "4", "Lewis Hamilton", "McLaren-Mercedes", "57", "18:36:11", "213.214", "1:29.538"
 "5", "18", "Pastor Maldonado", "Williams-Renault", "53", "18:30:22", "211.523", "1:30.254"
 "6", "17", "Jean-Eric Vergne", "STR-Ferrari", "52", "18:29:03", "211.476", "1:30.274"
 "7", "5", "Fernando Alonso", "Ferrari", "52", "18:28:51", "211.469", "1:30.277"
 "8", "16", "Daniel Ricciardo", "STR-Ferrari", "53", "18:30:35", "210.733", "1:30.592"
 "9", "11", "Paul di Resta", "Force India-Mercedes", "57", "18:36:42", "210.703", "1:30.605"
 "10", "14", "Kamui Kobayashi", "Sauber-Ferrari", "55", "18:33:35", "210.668", "1:30.620"
 "11", "9", "Kimi Räikkönen", "Lotus-Renault", "50", "18:25:58", "210.346", "1:30.759"
 "12", "15", "Sergio Perez", "Sauber-Ferrari", "46", "18:19:48", "210.151", "1:30.843"
 "13", "19", "Bruno Senna", "Williams-Renault", "49", "18:26:00", "210.123", "1:30.855"
 "14", "8", "Nico Rosberg", "Mercedes", "53", "18:30:31", "209.948", "1:30.931"
 "15", "6", "Felipe Massa", "Ferrari", "46", "18:19:56", "207.644", "1:31.940"
 "16", "21", "Vitaly Petrov", "Caterham-Renault", "27", "17:47:07", "204.806", "1:33.214"
 "17", "20", "Heikki Kovalainen", "Caterham-Renault", "26", "17:45:36", "203.759", "1:33.693"
 "18", "7", "Michael Schumacher", "Mercedes", "4", "17:09:53", "203.048", "1:34.021"
 "19", "24", "Timo Glock", "Marussia-Cosworth", "43", "18:15:48", "202.548", "1:34.253"
 "20", "25", "Charles Pic", "Marussia-Cosworth", "45", "18:20:20", "200.932", "1:35.011"
